Rank,Candidate,Score,Strengths,Weaknesses,Explanation,File
216,27485716,11.36,"c, communication, design, development, experience, gin, performance, planning, r, system","000, 145, ability, about, along, analytical, analyze, applied, area, background",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.34,E:\hackathon\1\resume\27485716.pdf
217,12518008,11.22,"c, design, development, engineer, engineering, experience, gin, planning, r, research","000, 145, ability, about, along, analytical, analyze, applied, area, background",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.34,E:\hackathon\1\resume\12518008.pdf
218,26480367,11.21,"000, ability, area, c, design, development, experience, performance, r, system","145, about, along, analytical, analyze, applied, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.34,E:\hackathon\1\resume\26480367.pdf
219,25905275,11.21,"000, ability, analytical, c, communication, experience, performance, r, research, system","145, about, along, analyze, applied, area, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.34,E:\hackathon\1\resume\25905275.pdf
220,60004873,11.21,"background, c, cad, design, engineer, engineering, experience, gin, r, research","000, 145, ability, about, along, analytical, analyze, applied, area, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.34,E:\hackathon\1\resume\60004873.pdf
221,32985311,11.15,"along, area, c, engineer, engineering, experience, gin, mode, r, system","000, 145, ability, about, analytical, analyze, applied, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.34,E:\hackathon\1\resume\32985311.pdf
222,62071407,11.10,"c, cad, design, engineer, engineering, experience, gin, r, research, system","000, 145, ability, about, along, analytical, analyze, applied, area, background",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.34,E:\hackathon\1\resume\62071407.pdf
223,32802563,10.95,"area, c, communication, engineer, engineering, experience, gin, r, research, system","000, 145, ability, about, along, analytical, analyze, applied, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.34,E:\hackathon\1\resume\32802563.pdf
224,15118506,10.91,"000, ability, c, communication, design, development, experience, gin, r, system","145, about, along, analytical, analyze, applied, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.34,E:\hackathon\1\resume\15118506.pdf
225,18752129,10.90,"along, c, design, development, engineer, engineering, experience, gin, mode, r","000, 145, ability, about, analytical, analyze, applied, area, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.34,E:\hackathon\1\resume\18752129.pdf
226,57002858,10.88,"000, ability, c, communication, design, engineer, experience, gin, r, system","145, about, along, analytical, analyze, applied, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.34,E:\hackathon\1\resume\57002858.pdf
227,14206561,10.86,"analyze, c, design, engineer, engineering, experience, gin, performance, r, system","000, 145, ability, about, along, analytical, applied, area, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.34,E:\hackathon\1\resume\14206561.pdf
228,37764298,10.84,"000, analyze, c, communication, engineer, engineering, experience, gin, r, system","145, ability, about, along, analytical, applied, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.34,E:\hackathon\1\resume\37764298.pdf
229,17688766,10.77,"ability, analyze, c, communication, design, experience, gin, planning, r, system","000, 145, about, along, analytical, applied, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.34,E:\hackathon\1\resume\17688766.pdf
230,19553067,10.76,"000, analytical, analyze, c, development, engineer, engineering, experience, gin, r","145, ability, about, along, applied, area, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.34,E:\hackathon\1\resume\19553067.pdf
231,27770859,10.32,"000, c, cad, communication, design, experience, gin, r, system","145, ability, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.31,E:\hackathon\1\resume\27770859.pdf
232,21298336,10.26,"c, cad, design, engineer, engineering, experience, gin, performance, r","000, 145, ability, about, along, analytical, analyze, applied, area, background",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.31,E:\hackathon\1\resume\21298336.pdf
233,91697974,10.25,"analyze, c, communication, experience, gin, performance, r, research, system","000, 145, ability, about, along, analytical, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.31,E:\hackathon\1\resume\91697974.pdf
234,Data_Analyst_Large,10.18,"ability, analytical, analyze, c, communication, design, development, experience, r","000, 145, about, along, applied, area, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.31,E:\hackathon\1\resume\Data_Analyst_Large.pdf
235,20024870,10.08,"behavior, c, cad, design, development, experience, planning, r, system","000, 145, ability, about, along, analytical, analyze, applied, area, background",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.31,E:\hackathon\1\resume\20024870.pdf
236,29975124,9.98,"000, c, communication, design, development, experience, r, role, system","145, ability, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.31,E:\hackathon\1\resume\29975124.pdf
237,25990239,9.96,"ability, applied, c, design, development, experience, planning, r, system","000, 145, about, along, analytical, analyze, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.31,E:\hackathon\1\resume\25990239.pdf
238,35325329,9.87,"000, c, communication, development, experience, gin, planning, r, system","145, ability, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.31,E:\hackathon\1\resume\35325329.pdf
239,13836471,9.82,"000, c, engineer, experience, gin, planning, r, research, system","145, ability, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.31,E:\hackathon\1\resume\13836471.pdf
240,68460556,9.76,"about, analyze, area, c, communication, development, experience, r, system","000, 145, ability, along, analytical, applied, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.31,E:\hackathon\1\resume\68460556.pdf
241,39718499,9.75,"ability, background, c, cad, communication, design, experience, performance, r","000, 145, about, along, analytical, analyze, applied, area, behavior, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.31,E:\hackathon\1\resume\39718499.pdf
242,20574232,9.69,"000, c, cad, communication, engineer, experience, gin, r, system","145, ability, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.31,E:\hackathon\1\resume\20574232.pdf
243,25857360,9.60,"000, area, c, communication, experience, gin, planning, r, system","145, ability, about, along, analytical, analyze, applied, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.31,E:\hackathon\1\resume\25857360.pdf
244,17987433,8.91,"ability, analytical, c, development, experience, gin, r, research","000, 145, about, along, analyze, applied, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.28,E:\hackathon\1\resume\17987433.pdf
245,24083609,8.89,"000, ability, area, c, experience, gin, r, system","145, about, along, analytical, analyze, applied, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.28,E:\hackathon\1\resume\24083609.pdf
246,33241454,8.85,"behavior, c, communication, design, experience, performance, r, system","000, 145, ability, about, along, analytical, analyze, applied, area, background",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.28,E:\hackathon\1\resume\33241454.pdf
247,20237244,8.81,"analytical, analyze, applied, c, cad, experience, r, system","000, 145, ability, about, along, area, background, behavior, canada, communication",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.28,E:\hackathon\1\resume\20237244.pdf
248,64017585,8.80,"analyze, area, c, design, experience, gin, performance, r","000, 145, ability, about, along, analytical, applied, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.28,E:\hackathon\1\resume\64017585.pdf
249,12635195,7.94,"analyze, c, design, development, experience, r, system","000, 145, ability, about, along, analytical, applied, area, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.24,E:\hackathon\1\resume\12635195.pdf
250,66832845,7.65,"000, analyze, area, c, communication, r, system","145, ability, about, along, analytical, applied, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.24,E:\hackathon\1\resume\66832845.pdf
251,38535335,7.62,"c, engineer, engineering, experience, gin, r, system","000, 145, ability, about, along, analytical, analyze, applied, area, background",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.24,E:\hackathon\1\resume\38535335.pdf
252,Administrative_Assistant_Large,7.58,"ability, c, communication, experience, gin, r, system","000, 145, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.24,E:\hackathon\1\resume\Administrative_Assistant_Large.pdf
253,Mechanical_Technician_Large,7.58,"ability, background, c, experience, gin, r, system","000, 145, about, along, analytical, analyze, applied, area, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.24,E:\hackathon\1\resume\Mechanical_Technician_Large.pdf
254,26768723,6.90,"about, c, experience, r, research, system","000, 145, ability, along, analytical, analyze, applied, area, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.21,E:\hackathon\1\resume\26768723.pdf
255,10839851,6.62,"analyze, c, experience, performance, r, system","000, 145, ability, about, along, analytical, applied, area, background, behavior",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.21,E:\hackathon\1\resume\10839851.pdf
